"cod_isco3","Parent","txt_isco3"
930,93,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen, onA"
931,93,"Hilfsarbeiter im Bergbau und im Bau"
932,93,"Hilfsarbeiter bei der Herstellung von Waren"
933,93,"Hilfsarbeiter in Transport und Lagerei"
941,94,"Hilfskräfte in der Nahrungsmittelzubereitung"
950,95,"Strassenhändler und auf der Strasse arbeitende Dienstleistungskräfte, onA"
951,95,"Auf der Strasse arbeitende Dienstleistungskräfte und verwandte Berufe"
952,95,"Strassenverkäufer (ohne Lebensmittel)"
960,96,"Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte, onA"
961,96,"Abfallentsorgungsarbeiter"
962,96,"Sonstige Hilfsarbeitskräfte"
