"cod_isco4","cod_isco2","txt_isco4"
3214,321,"Medizinische und zahnmedizinische Prothetiktechniker"
3220,322,"Fachkräfte Geburtshilfe, Gesundheit und Pflege (mittlere Stufe), onA"
3221,322,"Fachkräfte Gesundheit und Pflege (mittlere Stufe)"
3222,322,"Fachkräfte Geburtshilfe (mittlere Stufe)"
3230,323,"Fachkräfte in traditioneller und komplementärer Medizin"
3240,324,"Veterinärmedizinische Fachkräfte und Assistenten"
3250,325,"Sonstige Assistenzberufe im Gesundheitswesen, onA"
3251,325,"Zahnmedizinische Assistenten und Dentalhygieniker"
3252,325,"Fachkräfte im Bereich medizinische Dokumentation und Information"
3253,325,"Fachkräfte in der öffentlichen Gesundheitsfürsorge"
3254,325,"Augenoptiker"
3255,325,"Physiotherapeutische Techniker und Assistenten"
3256,325,"Medizinische Assistenten"
3257,325,"Kontrolleure und Beauftragte in den Bereichen Umwelt- und Arbeitsmedizin sowie verwandte Berufe"
3258,325,"Rettungsdienstpersonal"
3259,325,"Assistenzberufe im Gesundheitswesen, anderweitig nicht genannt"
3300,330,"Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte, onA"
3310,331,"Fachkräfte im Bereich Finanzen und mathematische Verfahren, onA"
3311,331,"Wertpapierhändler, -makler und Finanzmakler"
3312,331,"Fachkräfte im Bereich Kredit und Darlehen"
3313,331,"Fachkräfte im Rechnungswesen"
3314,331,"Statistische, mathematische und verwandte Fachkräfte"
3315,331,"Schätzer und Schadensgutachter"
3320,332,"Verkaufsfachkräfte, Einkäufer und Handelsmakler, onA"
3321,332,"Versicherungsvertreter"
3322,332,"Verkaufsfachkräfte"
3323,332,"Einkäufer"
3324,332,"Handelsmakler"
3330,333,"Fachkräfte für unternehmensbezogene Dienstleistungen, onA"
3331,333,"Fachkräfte für Abrechnungs- und Speditionsdienstleistungen"
3332,333,"Konferenz- und Veranstaltungsplaner"
3333,333,"Arbeits- und Personalvermittler"
3334,333,"Immobilienmakler und -verwalter"
3339,333,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt"
3340,334,"Sekretariatsfachkräfte, onA"
3341,334,"Sekretariatsleiter"
3342,334,"Sekretariatsfachkräfte im juristischen Bereich"
3343,334,"Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung"
3344,334,"Sekretariatsfachkräfte im Gesundheitswesen"
3350,335,"Fachkräfte in der öffentlichen Verwaltung, onA"
3351,335,"Fachkräfte im Zolldienst und Grenzschutz"
3352,335,"Fachkräfte in der Steuerverwaltung"
3353,335,"Fachkräfte in Sozialverwaltung und -versicherung"
3354,335,"Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen"
3355,335,"Polizeikommissare und Kriminalbeamte"
3359,335,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt"
3400,340,"Juristische, soziale, kulturelle und verwandte Fachkräfte, onA"
3410,341,"Juristische, soziale und religiöse Berufe, onA"
3411,341,"Fachkräfte für Rechts- und verwandte Angelegenheiten"
3412,341,"Soziale Fachkräfte"
3413,341,"Ordensbrüder/-schwestern und Seelsorgehelfer"
3420,342,"Fachkräfte im Bereich Sport und Fitness, onA"
3421,342,"Athleten und Berufssportler"
3422,342,"Sportlehrer, Sporttrainer und Sportfunktionäre"
3423,342,"Trainer und Betreuer im Bereich Fitness und Erholung"
3430,343,"Fachkräfte in Gestaltung und Kultur sowie Küchenchefs, onA"
3431,343,"Fotografen"
3432,343,"Raumgestalter und Dekorateure"
3433,343,"Fachkräfte in Kunstgalerien, Museen und Bibliotheken"
3434,343,"Küchenchefs, stv. Küchenchefs und Souschefs"
3435,343,"Sonstige Fachkräfte in Gestaltung und Kultur"
3500,350,"Informations- und Kommunikationstechniker, onA"
3510,351,"Techniker für den Betrieb von Informations- und Kommunikationstechnologie und für die Anwenderbetreuung, onA"
3511,351,"Techniker für den Betrieb von Informations- und Kommunikationstechnologie"
3512,351,"Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie"
3513,351,"Techniker für Computernetzwerke und -systeme"
3514,351,"Webmaster"
3520,352,"Telekommunikations- und Rundfunktechniker, onA"
3521,352,"Techniker für Rundfunk und audiovisuelle Medien"
3522,352,"Telekommunikationstechniker"
4000,400,"Bürokräfte und verwandte Berufe, onA"
4100,410,"Allgemeine Büro- und Sekretariatskräfte, onA"
4110,411,"Allgemeine Bürokräfte"
4120,412,"Sekretariatskräfte (allgemein)"
4130,413,"Schreibkräfte und Datenerfasser, onA"
4131,413,"Schreibkräfte und Bediener von Textverarbeitungsanlagen"
4132,413,"Datenerfasser"
4200,420,"Bürokräfte mit Kundenkontakt, onA"
4210,421,"Schalterbedienstete, Inkassobeauftragte und verwandte Berufe, onA"
4211,421,"Schalterbedienstete und Fachkräfte im Bereich Finanzdienstleistungen"
4212,421,"Buchmacher, Croupiers und verwandte Berufe im Bereich Glücks- und Wettspiele"
4213,421,"Pfandleiher und Geldverleiher"
4214,421,"Inkassobeauftragte und verwandte Berufe"
4220,422,"Berufe im Bereich Kundeninformation, onA"
4221,422,"Reiseverkehrsfachkräfte"
